zone_id,AGREMPN,OTHEMPN,MWTEMPN,FPSEMPN,RETEMPN,HEREMPN
1,0.001,0.019,0.019,0.019,0.019,0.019
2,0.001,0.019,0.019,0.019,0.019,0.019
3,0.001,0.019,0.019,0.019,0.019,0.019
4,0.001,0.019,0.019,0.019,0.019,0.019
5,0.001,0.019,0.019,0.019,0.019,0.019
6,0.001,0.019,0.019,0.019,0.019,0.019
7,0.001,0.019,0.019,0.019,0.019,0.019
8,0.001,0.019,0.019,0.019,0.019,0.019
9,0.001,0,0.019,0.019,0.019,0.019
10,0.001,0,0.019,0.019,0.019,0.019
11,0.001,0.019,0.019,0.019,0.019,0.019
12,0.001,0.019,0.019,0.019,0.019,0.019
13,0.001,0.019,0.019,0.019,0.019,0.019
14,0.001,0.019,0.019,0.019,0.019,0.019
15,0.001,0.019,0.019,0.019,0.019,0.019
16,0.001,0.019,0.019,0.019,0.019,0.019
17,0.001,0.019,0.019,0.019,0.019,0.019
18,0.001,0.019,0.019,0.019,0.019,0.019
19,0.001,0,0.019,0.019,0.019,0.019
20,0.001,0.019,0.019,0.019,0.019,0.019
21,0.001,0.019,0.019,0.019,0.019,0.019
22,0.001,0.019,0.019,0.019,0.019,0.019
23,0.001,0.019,0.019,0.019,0.019,0.019
24,0.001,0.019,0.019,0.019,0.019,0.019
25,0.001,0.019,0.019,0.019,0.019,0.019
26,0.001,0.019,0.019,0.019,0.019,0.019
27,0.001,0.019,0.019,0.019,0.019,0.019
28,0.001,0.019,0.019,0.019,0.019,0.019
29,0.001,0.019,0.019,0.019,0.019,0.019
30,0.001,0.019,0.019,0.019,0.019,0.019
31,0.001,0.019,0.019,0.019,0.019,0.019
32,0.001,0.019,0.019,0.019,0.019,0.019
33,0.001,0.019,0.019,0.019,0.019,0.019
34,0.001,0.019,0.019,0.019,0.019,0.019
35,0.001,0.019,0.019,0.019,0.019,0.019
36,0.001,0.019,0.019,0.019,0.019,0.019
37,0.001,0.019,0.019,0.019,0.019,0.019
38,0.001,0.019,0.019,0.019,0.019,0.019
39,0.001,0.019,0.019,0.019,0.019,0.019
40,0.001,0.019,0.019,0.019,0.019,0.019
41,0.001,0.019,0.019,0.019,0.019,0.019
42,0.001,0.019,0.019,0.019,0.019,0.019
43,0.001,0.019,0.019,0.019,0.019,0.019
44,0.001,0.019,0.019,0.019,0.019,0.019
45,0.001,0.019,0.019,0.019,0.019,0.019
46,0.001,0.019,0.019,0.019,0.019,0.019
47,0.001,0.019,0.019,0.019,0.019,0.019
48,0.001,0.019,0.019,0.019,0.019,0.019
49,0.001,0.019,0.019,0.019,0.019,0.019
50,0.001,0.019,0.019,0.019,0.019,0.019
51,0.001,0.019,0.019,0.019,0.019,0.019
52,0.001,0.019,0.019,0.019,0.019,0.019
53,0,0,0,0,0,0
54,0.001,0.019,0.019,0.019,0.019,0.019
55,0.001,0.019,0.019,0.019,0.019,0.019
56,0.001,0.019,0.019,0.019,0.019,0.019
57,0.001,0.019,0.019,0.019,0.019,0.019
58,0.001,0.019,0.019,0.019,0.019,0.019
59,0.001,0.019,0.019,0.019,0.019,0.019
60,0.001,0.019,0.019,0.019,0.019,0.019
61,0.001,0.019,0.019,0.019,0.019,0.019
62,0.001,0.019,0.019,0.019,0.019,0.019
63,0.001,0.019,0.019,0.019,0.019,0.019
64,0.001,0.019,0.019,0.019,0.019,0.019
65,0.001,0.019,0.019,0.019,0.019,0.019
66,0.001,0.019,0.019,0.019,0.019,0.019
67,0.001,0.019,0.019,0.019,0.019,0.019
68,0.001,0.019,0.019,0.019,0.019,0.019
69,0.001,0.019,0.019,0.019,0.019,0.005
70,0.001,0.019,0.019,0.019,0.019,0.019
71,0.001,0.019,0.019,0.019,0.019,0.019
72,0.001,0.019,0.019,0.019,0.019,0.019
73,0.001,0.019,0.019,0.019,0.019,0.019
74,0.001,0.019,0.019,0.019,0.019,0.019
75,0.001,0.019,0.019,0.019,0.019,0.019
76,0.001,0,0.019,0.019,0.019,0.019
77,0.001,0.019,0.019,0.019,0.019,0.019
78,0.001,0.019,0.019,0.019,0.019,0.019
79,0.001,0.019,0.019,0.019,0.019,0.019
80,0.001,0.019,0.019,0.019,0.019,0.019
81,0.001,0.019,0.019,0.019,0.019,0.019
82,0.001,0.019,0.019,0.019,0.019,0.019
83,0.001,0.019,0.019,0.019,0.019,0.019
84,0.001,0.019,0.019,0.019,0.019,0.019
85,0.001,0.019,0.019,0.019,0.019,0.019
86,0.001,0.019,0.019,0.019,0.019,0.005
87,0.001,0.019,0.019,0.019,0.019,0.019
88,0.001,0.019,0.019,0.019,0.019,0.019
89,0.001,0.019,0.019,0.019,0.019,0.019
90,0.001,0.019,0.019,0.019,0.019,0
91,0.001,0.019,0.019,0.019,0.019,0
92,0.001,0.019,0.019,0.019,0.019,0.019
93,0.001,0.019,0.019,0.019,0.019,0.019
94,0.001,0.019,0.019,0.019,0.019,0.019
95,0.001,0.019,0.019,0.019,0.019,0.019
96,0.001,0.019,0.019,0.019,0.019,0.019
97,0.001,0.019,0.019,0.019,0.019,0.019
98,0.001,0.019,0.019,0.019,0.019,0.019
99,0.001,0.019,0.019,0.019,0.019,0.019
100,0.001,0.019,0.019,0.019,0.019,0.019
101,0.001,0.019,0.019,0.019,0.019,0.019
102,0.001,0.019,0.019,0.019,0.019,0.019
103,0.001,0.019,0.019,0.019,0.019,0.019
104,0.001,0.019,0.019,0.019,0.019,0.019
105,0.001,0.019,0.019,0.019,0.019,0.019
106,0.001,0.019,0.019,0.019,0.019,0.019
107,0.001,0.019,0.019,0.019,0.019,0.019
108,0.001,0.019,0.019,0.019,0.019,0.019
109,0.001,0.019,0.019,0.019,0.019,0.019
110,0.001,0.019,0.019,0.019,0.019,0.019
